instance,price
c4.2xlarge,0.398
c5.2xlarge,0.34
c5a.2xlarge,0.308
c5n.2xlarge,0.432
m4.xlarge,0.2
m5.xlarge,0.192
m5a.xlarge,0.172
m5n.xlarge,0.238
r4.large,0.133
r5.large,0.126
r5a.large,0.113
r5n.large,0.149
t2.xlarge,0.1856
t3.xlarge,0.1664
t3a.xlarge,0.1504
g4dn.xlarge,0.526

